country,continent,year,life_exp,hdi_index,co2_consump,gdp,services
Bahamas,North America,2008,73.5,0.804,6.87,34300,80.9
Bahamas,North America,2018,73.8,0.812,4.7,32700,83.3
Barbados,North America,2008,75.8,0.8,5.76,18200,79.6
Barbados,North America,2018,76.5,0.81,4.48,16800,78.1
Belize,North America,2008,73.6,0.679,1.42,4810,63.7
Belize,North America,2018,74.4,0.714,1.5,4710,67.4
Canada,North America,2008,81.1,0.898,17.3,42100,76.6
Canada,North America,2018,82.2,0.928,15.3,44800,78.9
Costa Rica,North America,2008,80.3,0.761,1.77,10100,65.9
Costa Rica,North America,2018,80,0.808,1.61,12500,67.9
Cuba,North America,2008,78.4,0.783,2.47,6500,63.4
Cuba,North America,2018,78.3,0.781,2.53,8040,65.3
Dominican Republic,North America,2008,73.3,0.698,2.14,5410,65.9
Dominican Republic,North America,2018,72.9,0.751,2.34,8000,71
El Salvador,North America,2008,74.7,0.655,1.05,3360,57.8
El Salvador,North America,2018,75.6,0.67,1.11,3920,61.1
Guatemala,North America,2008,69.9,0.597,0.778,3620,44.3
Guatemala,North America,2018,72.4,0.657,1.07,4160,49.6
Haiti,North America,2008,60.2,0.466,0.245,1300,58.5
Haiti,North America,2018,63.5,0.508,0.27,1410,64.4
Honduras,North America,2008,71.3,0.603,1.06,2180,43.7
Honduras,North America,2018,71.9,0.633,1.04,2480,49.1
Jamaica,North America,2008,75.2,0.737,3.57,5240,65.1
Jamaica,North America,2018,76.3,0.734,2.79,5040,67.7
Mexico,North America,2008,75.2,0.748,4.45,9180,60.7
Mexico,North America,2018,75.5,0.776,3.79,9950,61.1
Nicaragua,North America,2008,74,0.616,0.771,1710,52.2
Nicaragua,North America,2018,75.2,0.659,0.862,2090,52.9
Panama,North America,2008,78.4,0.771,2.08,9890,63
Panama,North America,2018,79.9,0.812,2.62,14900,67
St. Lucia,North America,2008,75.3,0.725,2.33,10500,65.5
St. Lucia,North America,2018,75.1,0.758,2.31,11000,74.4
St. Vincent and the Grenadines,North America,2008,73.1,0.721,2.1,6980,66.3
St. Vincent and the Grenadines,North America,2018,72.8,0.736,2.03,7210,70.1
Trinidad and Tobago,North America,2008,72.4,0.778,33.7,18500,63.9
Trinidad and Tobago,North America,2018,74.8,0.795,31.3,16500,70
United States,North America,2008,78.4,0.911,19.5,53700,77.2
United States,North America,2018,79,0.925,16.6,59800,78.8
